,Name,DateTimeOriginal,GPSLatitude,GPSLongitude,picture_id,nb_judgments,mean_elo_rating,st_elo_rating,elo_reduced,mu,sigma,mu_0,sigma_0,rank_0,mu_1,sigma_1,rank_1,mu_2,sigma_2,rank_2,mu_3,sigma_3,rank_3,mu_4,sigma_4,rank_4,mu_5,sigma_5,rank_5,mu_6,sigma_6,rank_6,mu_7,sigma_7,rank_7,mu_8,sigma_8,rank_8,mu_9,sigma_9,rank_9
10,team 1 (kwun tong)_kwok chun ting (alex)_129.jpg,2020:11:08 11:09:58,22.3137388888889,114.217330555556,72,29,829.25,53.1312696835095,-0.862032208037438,25,8.333333333333334,18,1.923014858911916,12.230955423264252,13,1.7166873083525074,7.849938074942478,15,1.7512363297248612,9.746291010825416,15,1.8298211077762376,9.510536676671286,17,1.942884797962355,11.171345606112936,17,1.861685437192145,11.414943688423566,15,1.795484492853264,9.613546521440208,17,1.9639653935303047,11.108103819409086,18,1.8801916171536783,12.359425148538964,16,1.7967962183670256,10.609611344898925
11,team 1 (kwun tong)_kwok chun ting (alex)_13.jpg,2020:11:08 11:24:25,22.3123333333333,114.216758333333,73,41,487.666666666667,33.7351538615226,-2.58651733285221,25,8.333333333333334,34,2.865455053321152,25.403634840036545,30,2.541896062800012,22.374311811599966,32,3.01471944914344,22.95584165256968,33,2.8110581883179706,24.566825435046088,30,2.4285574386972466,22.71432768390826,30,2.757105346336364,21.728683960990907,30,2.928506126007693,21.214481621976923,31,2.5195857744077736,23.44124267677668,31,2.8212082753688543,22.53637517389344,31,3.1011833666071658,21.696449900178504
12,team 1 (kwun tong)_kwok chun ting (alex)_133.jpg,2020:11:08 11:21:06,22.3118527777778,114.217483333333,77,35,959.583333333333,86.8441219378233,-0.204043738847319,25,8.333333333333334,11,1.6874384543531094,5.937684636940672,9,1.5926782246640692,4.221965326007792,11,1.6881556860579106,5.935532941826269,9,1.590035983546915,4.229892049359254,10,1.6221030193678638,5.1336909418964085,10,1.6507445849567353,5.047766245129794,8,1.617940559595817,3.146178321212549,9,1.6373008629321997,4.088097411203401,8,1.587021917670121,3.238934246989637,9,1.6153834541959216,4.153849637412235
13,team 1 (kwun tong)_kwok chun ting (alex)_16.jpg,2020:11:08 11:10:09,22.3137027777778,114.217277777778,85,32,577.166666666667,41.5994609522185,-2.13467614620886,25,8.333333333333334,26,2.396866624626008,18.80940012612197,25,2.3205143669143946,18.03845689925681,25,2.478302485566275,17.565092543301176,27,2.2928971345108247,20.121308596467525,24,2.139875718638644,17.580372844084067,25,2.319950362873068,18.0401489113808,25,2.3954033522265883,17.813789943320234,28,2.4090282118214037,20.77291536453579,25,2.2104435964918903,18.36866921052433,25,2.4643255153901027,17.60702345382969
14,team 1 (kwun tong)_kwok chun ting (alex)_20.jpg,2020:11:08 11:24:55,22.3126194444444,114.216483333333,90,28,769.666666666667,96.5818854965081,-1.16283895705978,25,8.333333333333334,16,1.9780514416593256,10.065845675022024,19,1.9704423396981885,13.088672980905436,17,1.8335291854264173,11.499412443720749,20,1.8432514104625115,14.470245768612465,16,1.805651475244654,10.583045574266038,19,2.009470645028932,12.971588064913204,18,1.8447230873942555,12.465830737817232,19,1.9340734199019745,13.197779740294076,18,1.846949087685934,12.459152736942196,21,1.877891561827624,15.366325314517129
15,team 1 (kwun tong)_kwok chun ting (alex)_23.jpg,2020:11:08 11:25:17,22.312825,114.216325,93,29,616.666666666667,43.4831907613491,-1.93526020350035,25,8.333333333333334,22,2.0424286633130424,15.872714010060871,25,2.278508713341131,18.164473859976606,25,2.056750162367093,18.82974951289872,25,2.092897427612382,18.72130771716285,23,2.06225446204229,16.81323661387313,21,2.210915433313829,14.367253700058514,21,1.864869799328749,15.405390602013751,25,2.172930106112549,18.48120968166236,23,2.2108774843848438,16.367367546845472,23,2.062388386179744,16.81283484146077
16,team 1 (kwun tong)_kwok chun ting (alex)_29.jpg,2020:11:08 11:27:48,22.3131916666667,114.216316666667,99,30,750.666666666667,65.7520595368186,-1.25876054975501,25,8.333333333333334,18,1.7507789542516985,12.747663137244906,16,1.9810014832081244,10.056995550375628,18,1.8439939254397355,12.468018223680794,16,1.7595750828953736,10.72127475131388,17,1.65969921418467,12.02090235744599,18,1.8186830527841569,12.54395084164753,19,1.7783499051491958,13.664950284552411,18,1.8794667759541388,12.361599672137585,16,1.6652291598717313,11.004312520384806,19,1.7612734148314215,13.716179755505737
17,team 1 (kwun tong)_kwok chun ting (alex)_30.jpg,2020:11:08 11:27:55,22.3131777777778,114.216780555556,101,22,831.333333333333,56.7808119531643,-0.851514489540153,25,8.333333333333334,15,2.32700225656568,8.01899323030296,18,2.2543503425921365,11.23694897222359,18,2.2469132744136893,11.259260176758932,15,2.286603187823183,8.14019043653045,14,2.252831969193453,7.241504092419641,15,2.136268221011011,8.591195336966967,14,2.1152472978058627,7.654258106582412,17,2.1276609348520723,10.617017195443784,14,2.234522167734532,7.2964334967964035,15,2.106472186304096,8.680583441087713
18,team 1 (kwun tong)_kwok chun ting (alex)_35.jpg,2020:11:08 11:28:59,22.3130277777778,114.216308333333,106,31,552.25,34.9704420644323,-2.26046805943639,25,8.333333333333334,28,2.4137431154819438,20.75877065355417,26,2.091990990811867,19.7240270275644,24,2.427252147635202,16.718243557094393,22,2.680723513761569,13.957829458715294,25,2.5359342789600032,17.392197163119988,24,2.330747156684129,17.007758529947616,25,2.1921839000338714,18.423448299898386,25,2.2609286711352405,18.21721398659428,26,2.238640174863901,19.284079475408294,27,2.3951449113842966,19.814565265847108
19,team 1 (kwun tong)_kwok chun ting (alex)_37.jpg,2020:11:08 11:29:15,22.3128611111111,114.216377777778,108,25,615.166666666667,31.9853186018305,-1.94283296081839,25,8.333333333333334,27,2.71393693184669,18.85818920445993,27,2.666655750518057,19.000032748445825,25,2.987349321490946,16.037952035527162,27,3.048801513988193,17.85359545803542,26,2.550934695984899,18.347195912045304,25,2.952162155936521,16.143513532190436,24,2.631612918509116,16.105161244472654,26,3.1427915554793824,16.571625333561855,27,2.8960030959165843,18.31199071225025,25,2.7443754088938093,16.766873773318572
20,team 1 (kwun tong)_kwok chun ting (alex)_4.jpg,2020:11:08 11:10:04,22.3137194444444,114.217316666667,111,29,615.25,54.2404159946504,-1.9424122520785,25,8.333333333333334,23,2.2189247990776355,16.34322560276709,27,2.493813455122486,19.51855963463254,24,2.277751421210396,17.16674573636881,25,2.4429607339670545,17.671117798098837,25,2.409205550054868,17.772383349835394,24,2.453273000847666,16.640180997457,25,2.334170068658755,17.997489794023735,22,2.4414882540041445,14.675535237987567,23,2.4118163177040035,15.76455104688799,23,2.433697972524989,15.698906082425031
21,team 1 (kwun tong)_kwok chun ting (alex)_43.jpg,2020:11:08 11:30:04,22.312625,114.216805555556,115,37,616.416666666667,54.2342701675431,-1.93652232972002,25,8.333333333333334,22,2.0823351748639145,15.752994475408256,26,2.248903573070244,19.253289280789268,23,2.1606690738638297,16.517992778408512,24,2.047995860454247,17.856012418637256,25,2.14706088303134,18.55881735090598,23,1.9782880632151971,17.06513581035441,25,2.146437433603779,18.560687699188662,24,2.1277909804941166,17.61662705851765,23,2.141466609157815,16.575600172526556,22,2.303130073223454,15.090609780329638
22,team 1 (kwun tong)_kwok chun ting (alex)_47.jpg,2020:11:08 11:31:45,22.3121305555556,114.217147222222,119,30,585.75,58.2660434402562,-2.09134314600005,25,8.333333333333334,26,2.1204000210977565,19.63879993670673,23,1.949466414603218,17.151600756190348,25,2.0738045216860264,18.77858643494192,23,2.099044351180733,16.7028669464578,26,2.0333232386443227,19.900030284067032,21,2.096992923792485,14.709021228622545,22,2.0758127918788807,15.77256162436336,23,1.8904225867859563,17.32873223964213,22,1.968613803907643,16.09415858827707,23,1.8858837771734596,17.342348668479623
23,team 1 (kwun tong)_kwok chun ting (alex)_52.jpg,2020:11:08 11:32:08,22.3122916666667,114.217286111111,125,31,717.916666666667,54.2711346906075,-1.42409908453232,25,8.333333333333334,20,2.1427160654822446,13.571851803553264,20,2.0671200776482435,13.79863976705527,19,1.9663456743914896,13.100962976825532,21,2.096555836752768,14.710332489741695,18,1.9852279411241476,12.044316176627555,20,2.0885902770330804,13.73422916890076,18,2.1065193743412367,11.680441876976287,19,2.231150721130424,12.306547836608727,19,2.007017038114145,12.978948885657564,18,2.066472097517792,11.800583707446624
24,team 1 (kwun tong)_kwok chun ting (alex)_54.jpg,2020:11:08 11:32:46,22.3128305555556,114.217575,127,34,899.666666666667,94.3777066639761,-0.506533322829222,25,8.333333333333334,15,1.6875427110181949,9.937371866945416,14,1.6680535658368223,8.995839302489532,13,1.6817750814962704,7.954674755511188,14,1.6401888602722268,9.07943341918332,14,1.6678552211772564,8.99643433646823,14,1.634993407608344,9.095019777174969,13,1.6400718247563724,8.079784525730883,12,1.612367427057818,7.162897718826546,13,1.6537738983422663,8.0386783049732,12,1.650966213960196,7.047101358119412
25,team 1 (kwun tong)_kwok chun ting (alex)_6.jpg,2020:11:08 11:22:31,22.3119361111111,114.2172,133,24,789.666666666667,68.8190424668972,-1.06186885948584,25,8.333333333333334,17,1.94979982528377,11.15060052414869,15,1.9110772990504024,9.266768102848792,19,2.089541816337194,12.731374550988418,15,2.067933297392948,8.796200107821157,17,1.9173345086051583,11.247996474184523,19,2.0413658394693366,12.87590248159199,15,2.115987901439302,8.652036295682095,16,1.931946638591424,10.204160084225729,14,1.9583701811303504,8.124889456608948,15,1.9739193602639284,9.078241919208214
26,team 1 (kwun tong)_kwok chun ting (alex)_67.jpg,2020:11:08 11:11:41,22.3131,114.216963888889,141,28,1161.91666666667,79.4497649556948,0.817437081608952,25,8.333333333333334,5,1.9111554141068685,-0.7334662423206044,2,1.8814182740617351,-3.644254822185205,3,1.7699642135570175,-2.3098926406710536,4,1.8326478752112096,-1.4979436256336287,4,1.8696045302975084,-1.6088135908925256,5,1.7776384947855526,-0.3329154843566577,7,1.776574457528031,1.670276627415908,5,1.836273602690297,-0.5088208080708911,2,1.8430979794666231,-3.529293938399869,1,1.798272127332039,-4.394816381996117
27,team 1 (kwun tong)_kwok chun ting (alex)_7.jpg,2020:11:08 11:23:48,22.3120277777778,114.217077777778,144,34,520.5,36.1071637314159,-2.420758089335,25,8.333333333333334,27,2.3701526447994774,19.889542065601567,29,2.566354548555407,21.30093635433378,25,2.3112683840924846,18.066194847722542,25,2.1120789234792943,18.66376322956212,25,2.4482892454905865,17.65513226352824,25,2.524825287797656,17.42552413660703,26,2.4717950166014955,18.584614950195515,25,2.1782183957426247,18.465344812772127,26,2.0812264406032925,19.75632067819012,26,2.335479455779905,18.993561632660285
28,team 1 (kwun tong)_kwok chun ting (alex)_71.jpg,2020:11:08 11:11:48,22.3131277777778,114.216994444444,146,31,1314.83333333333,45.2223463130851,1.58943761930963,25,8.333333333333334,0,1.9960125188653848,-5.988037556596156,0,2.12320992056594,-6.369629761697819,0,2.104935040791992,-6.314805122375977,0,2.166393516144557,-6.499180548433671,0,1.9407648943611788,-5.822294683083537,0,1.9818663876960676,-5.945599163088202,0,2.027659276747458,-6.082977830242374,0,1.930430123684304,-5.791290371052913,0,1.9952238759239915,-5.985671627771975,0,1.9711207917928009,-5.9133623753784015
29,team 1 (kwun tong)_kwok chun ting (alex)_72.jpg,2020:11:08 11:11:51,22.3131333333333,114.216994444444,147,30,1159.0,74.250191306763,0.802712275712753,25,8.333333333333334,4,1.68819662472844,-1.0645898741853197,6,1.6884627856351246,0.934611643094626,2,1.6808678079211616,-3.0426034237634845,1,1.730769813406777,-4.192309440220331,3,1.682876424472593,-2.048629273417779,5,1.662316731528413,0.0130498054147611,6,1.7039114977173466,0.8882655068479597,2,1.7081553074610258,-3.1244659223830773,6,1.817056659453588,0.548830021639235,4,1.7756214260707142,-1.3268642782121427
30,team 1 (kwun tong)_kwok chun ting (alex)_78.jpg,2020:11:08 11:12:12,22.3134277777778,114.217186111111,153,30,1120.33333333333,54.0459961233919,0.607503420403153,25,8.333333333333334,3,1.870154680279829,-2.610464040839487,2,1.7648796973401004,-3.294639092020301,3,1.7255676801448792,-2.1767030404346377,3,1.7787791314700134,-2.33633739441004,3,1.6795753987947313,-2.038726196384194,3,1.7503844296251552,-2.2511532888754653,2,1.7241563625313352,-3.1724690875940054,3,1.8044900162152424,-2.413470048645728,5,1.8001440388671708,-0.4004321166015128,3,1.7506090041069935,-2.2518270123209803
31,team 1 (kwun tong)_kwok chun ting (alex)_90.jpg,2020:11:08 11:14:48,22.31285,114.216988888889,167,28,767.583333333333,49.0295983580481,-1.17335667555706,25,8.333333333333334,15,1.8028054701135,9.5915835896595,16,1.8979381275372844,10.306185617388149,19,1.8645518247603137,13.40634452571906,17,1.8795059540484296,11.361482137854711,19,1.9307078759171388,13.207876372248585,15,1.79179505652816,9.62461483041552,17,1.7959545794850464,11.612136261544862,18,1.9414519046255496,12.175644286123353,19,1.8756871277998188,13.372938616600544,17,1.7731830465906753,11.680450860227976
32,team 1 (kwun tong)_kwok chun ting (alex)_94.jpg,2020:11:08 11:15:05,22.3127888888889,114.217277777778,171,25,891.083333333333,88.5473251311342,-0.549866323038034,25,8.333333333333334,13,1.9315166596678075,7.205450020996578,13,1.908484015181372,7.274547954455883,13,2.026599485339664,6.920201543981009,13,1.966872080862784,7.099383757411648,13,2.0013409471595387,6.995977158521384,16,2.0640161996913338,9.807951400926,16,1.9935445903822624,10.019366228853212,14,1.9647997984563936,8.105600604630819,15,1.9166837570929312,9.249948728721208,14,2.030897588201167,7.9073072353965
33,team 1 (kwun tong)_shiu ming chi (simon)_10.jpg,2020:11:07 17:33:55,22.3091571388889,114.220522277778,178,32,1140.66666666667,62.4970302324741,0.71015635293665,25,8.333333333333334,2,1.7375198330879535,-3.212559499263861,3,1.7467110239866588,-2.240133071959976,4,1.7489139840767138,-1.246741952230142,4,1.7448821104927568,-1.2346463314782703,0,1.7256376624461596,-5.176912987338479,3,1.6606697735697022,-1.982009320709107,4,1.8241830360895972,-1.472549108268792,3,1.7720836665819202,-2.31625099974576,3,1.6892092229467996,-2.067627668840399,3,1.7066091121405853,-2.119827336421756
34,team 1 (kwun tong)_shiu ming chi (simon)_112.jpg,2020:11:07 17:54:19,22.3072476388889,114.222831777778,192,36,821.5,70.4369479489539,-0.901158120847336,25,8.333333333333334,13,1.5876396891911786,8.237080932426464,15,1.5691260696790017,10.292621790962995,15,1.6092535220976711,10.172239433706986,14,1.5865863584861002,9.240240924541698,16,1.6511650077686968,11.04650497669391,12,1.4933131399257162,7.520060580222851,13,1.496869282998876,8.509392151003372,14,1.548690413878166,9.353928758365502,15,1.673195536371412,9.980413390885763,14,1.6157514251991438,9.152745724402568
35,team 1 (kwun tong)_shiu ming chi (simon)_117.jpg,2020:11:07 17:11:17,22.313777,114.220594361111,197,31,999.083333333333,77.3744829130419,-0.0046277961388049,25,8.333333333333334,10,1.77894877167229,4.66315368498313,10,1.7697915766003596,4.690625270198922,9,1.7438606361554536,3.768418091533639,9,1.7941753845258153,3.6174738464225538,10,1.74150485225843,4.77548544322471,10,1.7325509183160714,4.802347245051786,11,1.9040839895798989,5.287748031260303,8,1.8061627984381683,2.5815116046854945,10,1.83204384317324,4.503868470480281,9,1.7335402631820551,3.799379210453835
36,team 1 (kwun tong)_shiu ming chi (simon)_12.jpg,2020:11:07 17:34:13,22.3092779444444,114.220442972222,200,37,841.666666666667,75.463818342222,-0.799346605793622,25,8.333333333333334,10,1.5712621693049469,5.28621349208516,10,1.55159075447601,5.34522773657197,13,1.517407057517235,8.447778827448296,12,1.5758046857622277,7.272585942713317,11,1.5975353695741927,6.207393891277421,12,1.5560007851686042,7.331997644494187,12,1.568949061578265,7.293152815265205,11,1.623303449822706,6.130089650531882,12,1.5985080388295465,7.204475883511361,11,1.550182865490928,6.349451403527216
37,team 1 (kwun tong)_shiu ming chi (simon)_120.jpg,2020:11:07 17:56:24,22.3073589166667,114.223715694444,201,28,985.75,72.0859650947143,-0.071941194521426,25,8.333333333333334,10,1.8615341015945723,4.415397695216283,9,1.8332426859262685,3.500271942221195,11,1.8248017279228124,5.525594816231563,11,1.8944262667476857,5.316721199756943,12,1.830422193839872,6.508733418480385,12,1.832279196951881,6.503162409144357,10,1.828817777360576,4.5135466679182725,9,1.8020349073424664,3.593895277972601,9,1.8291647572707637,3.51250572818771,8,1.836544766627895,2.490365700116316
38,team 1 (kwun tong)_shiu ming chi (simon)_121.jpg,2020:11:07 17:56:43,22.3072915833333,114.223565138889,202,37,987.25,59.0871851973459,-0.0643684372033812,25,8.333333333333334,7,1.4900759402384989,2.529772179284503,8,1.5760614735514729,3.271815579345581,7,1.518249258474032,2.445252224577904,6,1.5389630910608258,1.383110726817522,6,1.5382526228955362,1.3852421313133911,7,1.520502420371737,2.438492738884789,8,1.523528500346234,3.4294144989612985,8,1.5026609496833294,3.492017150950012,7,1.515517039093989,2.4534488827180336,8,1.5520905127548594,3.343728461735422
39,team 1 (kwun tong)_shiu ming chi (simon)_125.jpg,2020:11:07 17:58:02,22.3065861388889,114.222719083333,206,30,964.333333333333,74.4633324448207,-0.180063340673511,25,8.333333333333334,10,1.6561747808659597,5.0314756574021215,10,1.643152170514368,5.070543488456895,9,1.641221235965998,4.076336292102006,10,1.6927860807898472,4.921641757630459,10,1.6953602670788832,4.913919198763351,8,1.626681827824593,3.119954516526221,8,1.6745325456100235,2.976402363169929,11,1.667597043755183,5.997208868734451,11,1.6379628819780294,6.086111354065912,12,1.6710273513902285,6.986917945829315
40,team 1 (kwun tong)_shiu ming chi (simon)_127.jpg,2020:11:07 17:14:22,22.3142139166667,114.219451666667,208,25,1257.41666666667,58.8240184917279,1.29956929752447,25,8.333333333333334,0,2.3196498941645496,-6.958949682493649,2,2.132632865698552,-4.397898597095654,2,1.9905221113091291,-3.971566333927388,1,2.1823449804139083,-5.547034941241725,2,2.0624240365449515,-4.187272109634854,0,2.1562286160902637,-6.468685848270789,1,2.1666156699615784,-5.499847009884736,2,2.261381810460289,-4.784145431380868,0,2.186796793525568,-6.560390380576703,0,2.247583666967588,-6.742751000902764
41,team 1 (kwun tong)_shiu ming chi (simon)_130.jpg,2020:11:07 17:58:58,22.3066883888889,114.222359444444,212,34,1082.83333333333,93.3544889443491,0.418184487452032,25,8.333333333333334,2,1.7283166258316824,-3.184949877495047,4,1.596792560901938,-0.790377682705814,3,1.589494400659556,-1.7684832019786685,6,1.6377002048131095,1.0868993855606703,5,1.606795798163385,0.1796126055098454,4,1.6171558740922265,-0.8514676222766786,4,1.673656906665138,-1.0209707199954137,3,1.6821221425500783,-2.046366427650236,4,1.633401522293188,-0.9002045668795642,3,1.6817287199171862,-2.045186159751559
42,team 1 (kwun tong)_shiu ming chi (simon)_133.jpg,2020:11:07 18:01:58,22.3077678888889,114.221512527778,215,44,848.166666666667,69.0452201404444,-0.766531324082095,25,8.333333333333334,14,1.4759002897984603,9.57229913060462,14,1.5896142303412095,9.231157308976371,11,1.4836873969444888,6.548937809166533,13,1.5588180029320349,8.323545991203897,12,1.5319866371517814,7.404040088544656,12,1.5325841622440022,7.4022475132679935,12,1.519688608912479,7.440934173262563,12,1.518853174688162,7.443440475935514,11,1.4939195486838168,6.518241353948549,12,1.5993522540501162,7.201943237849651
43,team 1 (kwun tong)_shiu ming chi (simon)_141.jpg,2020:11:07 18:03:51,22.3083926666667,114.220813916667,224,19,728.916666666667,59.284304734717,-1.36856553086666,25,8.333333333333334,22,2.4778381665947458,14.566485500215762,18,2.45909072646072,10.62272782061784,19,2.45192540802276,11.64422377593172,16,2.6370139388007208,8.088958183597837,18,2.2897900532491824,11.130629840252452,22,2.1929607436236185,15.421117769129143,19,2.404348402685076,11.786954791944773,22,2.5039464283736,14.4881607148792,19,2.3787535715539527,11.86373928533814,20,2.181916324675541,13.454251025973376
44,team 1 (kwun tong)_shiu ming chi (simon)_147.jpg,2020:11:07 16:17:58,22.3125335277778,114.221955222222,230,35,1475.91666666667,24.5596059093839,2.40266761351967,25,8.333333333333334,0,2.212370632595902,-6.6371118977877055,0,2.015415781597944,-6.046247344793831,0,2.096851520898368,-6.290554562695103,0,2.026301496276952,-6.078904488830856,3,2.140112776497598,-3.420338329492794,0,2.098957809581324,-6.2968734287439725,0,2.144490070048701,-6.433470210146103,0,1.985825185460796,-5.957475556382388,0,2.2358571815625967,-6.70757154468779,0,2.209920166350408,-6.629760499051223
45,team 1 (kwun tong)_shiu ming chi (simon)_17.jpg,2020:11:07 17:12:44,22.3141723888889,114.219722,235,36,1326.58333333333,27.1877590548438,1.64875755163432,25,8.333333333333334,0,1.93063645804094,-5.791909374122819,0,2.1564375429378067,-6.46931262881342,0,2.133559991627044,-6.4006799748811325,0,2.012189535195206,-6.036568605585618,0,2.0281216846504337,-6.084365053951301,0,2.086142366760688,-6.258427100282065,0,2.09050636479646,-6.27151909438938,0,2.039023163043124,-6.117069489129372,0,2.021877220849757,-6.065631662549272,0,1.932878324863593,-5.79863497459078
46,team 1 (kwun tong)_shiu ming chi (simon)_32.jpg,2020:11:07 17:46:53,22.3085960555556,114.221526222222,252,37,858.75,33.9842878133678,-0.713101314115889,25,8.333333333333334,12,1.7665573221455082,6.700328033563475,14,1.832082977470648,8.503751067588055,12,1.8334860428718835,6.49954187138435,16,2.056568530452528,9.830294408642416,13,1.785023512428055,7.644929462715835,11,1.7682457267966518,5.695262819610044,14,1.8534576460373688,8.439627061887894,15,1.953513778973683,9.139458663078951,15,1.8484180945218256,9.454745716434523,14,1.8074804359307848,8.577558692207644
