,image,elo_reduced
33,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_147.jpg,2.4
34,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_32.jpg,-0.7
35,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_49.jpg,1.1
36,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_50.jpg,0.2
37,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_54.jpg,1.3
38,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_55.jpg,0.8
39,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_56.jpg,0.6
40,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_62.jpg,0.2
41,Team 1 (Kwun Tong)_Shiu Ming Chi (Simon)_96.jpg,0.8
42,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_100.jpg,-1.4
43,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_102.jpg,-1.3
44,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_103.jpg,-1.6
45,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_108.jpg,-0.7
46,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_119.jpg,-0.1
47,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_132.jpg,-1.2
48,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_152.jpg,0.2
49,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_156.jpg,0.4
50,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_158.jpg,-1.1
51,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_178.jpg,-1.0
52,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_186.jpg,-1.0
53,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_187.jpg,-1.5
54,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_202.jpg,-0.8
55,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_205.jpg,-1.2
56,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_207.jpg,1.0
57,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_211.jpg,0.3
58,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_215.jpg,0.5
59,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_219.jpg,-0.6
60,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_221.jpg,-2.0
61,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_233.jpg,-1.8
62,Team 1 (Kwun Tong)_Tam Shun Hei (Marco)_238.jpg,-1.4
63,Team 1 (Kwun Tong)_Tsang Yan Chak_106.jpg,-1.2
64,Team 1 (Kwun Tong)_Tsang Yan Chak_107.jpg,-0.1
65,Team 1 (Kwun Tong)_Tsang Yan Chak_109.jpg,0.0
66,Team 1 (Kwun Tong)_Tsang Yan Chak_128.jpg,-1.0
67,Team 1 (Kwun Tong)_Tsang Yan Chak_132.jpg,0.4
68,Team 1 (Kwun Tong)_Tsang Yan Chak_134.jpg,1.0
69,Team 1 (Kwun Tong)_Tsang Yan Chak_156.jpg,0.4
70,Team 1 (Kwun Tong)_Tsang Yan Chak_163.jpg,-0.5
71,Team 1 (Kwun Tong)_Tsang Yan Chak_170.jpg,1.9
72,Team 1 (Kwun Tong)_Tsang Yan Chak_177.jpg,-0.2
73,Team 1 (Kwun Tong)_Tsang Yan Chak_180.jpg,-0.7
74,Team 1 (Kwun Tong)_Tsang Yan Chak_201.jpg,0.5
75,Team 1 (Kwun Tong)_Wu Chun Kuen (Jacky)_100.jpg,0.7
76,Team 1 (Kwun Tong)_Wu Chun Kuen (Jacky)_138.jpg,-0.4
77,Team 1 (Kwun Tong)_Wu Chun Kuen (Jacky)_140.jpg,-0.2
78,Team 1 (Kwun Tong)_Wu Chun Kuen (Jacky)_161.jpg,1.2
79,Team 1 (Kwun Tong)_Wu Chun Kuen (Jacky)_165.jpg,1.4
80,Team 1 (Kwun Tong)_Wu Chun Kuen (Jacky)_166.jpg,0.7
81,Team 1 (Kwun Tong)_Wu Chun Kuen (Jacky)_167.jpg,-0.2
82,Team 1 (Kwun Tong)_Wu Chun Kuen (Jacky)_168.jpg,0.6
83,Team 1 (Kwun Tong)_Wu Chun Kuen (Jacky)_180.jpg,-0.6
84,Team 1 (Kwun Tong)_Wu Chun Kuen (Jacky)_181.jpg,-1.0
85,Team 1 (Kwun Tong)_Wu Chun Kuen (Jacky)_182.jpg,-0.8
86,Team 1 (Kwun Tong)_Wu Chun Kuen (Jacky)_186.jpg,-0.2
87,Team 1 (Kwun Tong)_Wu Chun Kuen (Jacky)_203.jpg,0.9
88,Team 1 (Kwun Tong)_Wu Chun Kuen (Jacky)_208.jpg,-1.0
89,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_109.jpg,-1.1
90,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_115.jpg,-0.3
91,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_119.jpg,0.3
92,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_127.jpg,-0.4
93,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_132.jpg,1.7
94,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_141.jpg,-0.7
95,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_153.jpg,0.2
96,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_159.jpg,0.1
97,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_167.jpg,0.2
98,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_187.jpg,-0.6
99,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_188.jpg,-0.4
100,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_189.jpg,-0.7
101,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_212.jpg,-0.7
102,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_220.jpg,-0.4
103,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_223.jpg,0.0
104,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_224.jpg,0.2
105,Team 10 (Causeway Bay)_Leung Lok Sze (Angie)_233.jpg,-0.4
106,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_10.jpg,-0.5
107,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_100.jpg,1.4
108,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_103.jpg,0.2
109,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_116.jpg,0.4
110,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_143.jpg,-0.1
111,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_164.jpg,-1.0
112,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_168.jpg,1.3
113,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_177.jpg,0.3
114,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_250.jpg,-0.7
115,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_258.jpg,0.1
116,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_265.jpg,0.8
117,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_273.jpg,-1.0
118,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_275.jpg,1.4
119,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_288.jpg,0.4
120,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_289.jpg,0.8
121,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_290.jpg,1.3
122,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_294.jpg,-0.8
123,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_302.jpg,-0.7
124,Team 10 (Causeway Bay)_Lui Yee Ching (Daphne)_312.jpg,-0.6
125,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_112.jpg,-0.4
126,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_125.jpg,0.1
127,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_127.jpg,0.7
128,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_129.jpg,-0.9
129,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_138.jpg,0.9
130,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_146.jpg,-0.7
131,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_156.jpg,-0.7
132,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_158.jpg,0.1
133,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_161.jpg,-1.7
134,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_178.jpg,1.5
135,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_179.jpg,0.9
136,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_184.jpg,1.9
137,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_185.jpg,1.1
138,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_194.jpg,-0.6
139,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_195.jpg,0.9
140,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_196.jpg,-0.5
141,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_201.jpg,-1.0
142,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_206.jpg,-0.9
143,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_207.jpg,0.7
144,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_211.jpg,0.4
145,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_212.jpg,1.0
146,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_222.jpg,-0.6
147,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_223.jpg,-0.7
148,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_224.jpg,0.1
149,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_230.jpg,-1.2
150,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_247.jpg,-0.8
151,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_27.jpg,0.3
152,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_3.jpg,0.8
153,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_57.jpg,-1.3
154,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_62.jpg,1.0
155,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_63.jpg,0.9
156,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_78.jpg,0.4
157,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_79.jpg,0.9
158,Team 10 (Causeway Bay)_Ng Man Yee (Mandy)_96.jpg,0.2
159,Team 10 (Causeway Bay)_Wong Hao (Isaac)_104.jpg,0.6
160,Team 10 (Causeway Bay)_Wong Hao (Isaac)_106.jpg,2.2
161,Team 10 (Causeway Bay)_Wong Hao (Isaac)_12.jpg,0.8
162,Team 10 (Causeway Bay)_Wong Hao (Isaac)_121.jpg,-0.3
163,Team 10 (Causeway Bay)_Wong Hao (Isaac)_125.jpg,-0.2
164,Team 10 (Causeway Bay)_Wong Hao (Isaac)_126.jpg,0.3
165,Team 10 (Causeway Bay)_Wong Hao (Isaac)_129.jpg,1.3
166,Team 10 (Causeway Bay)_Wong Hao (Isaac)_145.jpg,0.9
167,Team 10 (Causeway Bay)_Wong Hao (Isaac)_209.jpg,0.0
168,Team 10 (Causeway Bay)_Wong Hao (Isaac)_226.jpg,-0.1
169,Team 10 (Causeway Bay)_Wong Hao (Isaac)_229.jpg,-0.9
170,Team 10 (Causeway Bay)_Wong Hao (Isaac)_25.jpg,-0.6
171,Team 10 (Causeway Bay)_Wong Hao (Isaac)_35.jpg,-1.7
172,Team 10 (Causeway Bay)_Wong Hao (Isaac)_46.jpg,-1.4
173,Team 10 (Causeway Bay)_Wong Hao (Isaac)_55.jpg,0.3
174,Team 10 (Causeway Bay)_Wong Hao (Isaac)_63.jpg,-0.6
175,Team 10 (Causeway Bay)_Wong Hao (Isaac)_67.jpg,-1.2
176,Team 10 (Causeway Bay)_Wong Hao (Isaac)_69.jpg,1.6
177,Team 10 (Causeway Bay)_Wong Hao (Isaac)_72.jpg,-0.1
178,Team 10 (Causeway Bay)_Wong Hao (Isaac)_73.jpg,-0.2
179,Team 10 (Causeway Bay)_Wong Hao (Isaac)_81.jpg,-0.4
180,Team 10 (Causeway Bay)_Wong Hao (Isaac)_87.jpg,-1.3
181,Team 10 (Causeway Bay)_Wong Hao (Isaac)_89.jpg,-0.3
182,Team 10 (Causeway Bay)_Wong Hao (Isaac)_97.jpg,-0.6
183,Team 11 (Wan Chai)_Chen Difei (Peter)_100.jpg,-0.3
184,Team 11 (Wan Chai)_Chen Difei (Peter)_108.jpg,0.9
185,Team 11 (Wan Chai)_Chen Difei (Peter)_111.jpg,0.4
186,Team 11 (Wan Chai)_Chen Difei (Peter)_118.jpg,2.0
187,Team 11 (Wan Chai)_Chen Difei (Peter)_131.jpg,-0.0
188,Team 11 (Wan Chai)_Chen Difei (Peter)_145.jpg,0.0
189,Team 11 (Wan Chai)_Chen Difei (Peter)_150.jpg,2.2
190,Team 11 (Wan Chai)_Chen Difei (Peter)_171.jpg,1.0
191,Team 11 (Wan Chai)_Chen Difei (Peter)_185.jpg,-0.9
192,Team 11 (Wan Chai)_Chen Difei (Peter)_188.jpg,1.4
193,Team 11 (Wan Chai)_Chen Difei (Peter)_201.jpg,1.1
194,Team 11 (Wan Chai)_Chen Difei (Peter)_220.jpg,1.1
195,Team 11 (Wan Chai)_Chen Difei (Peter)_227.jpg,1.1
196,Team 11 (Wan Chai)_Chen Difei (Peter)_236.jpg,0.6
197,Team 11 (Wan Chai)_Chen Difei (Peter)_35.jpg,0.6
198,Team 11 (Wan Chai)_Chen Difei (Peter)_36.jpg,-0.5
199,Team 11 (Wan Chai)_Chen Difei (Peter)_47.jpg,-1.5
200,Team 11 (Wan Chai)_Chen Difei (Peter)_49.jpg,-1.1
201,Team 11 (Wan Chai)_Chen Difei (Peter)_52.jpg,0.2
202,Team 11 (Wan Chai)_Chen Difei (Peter)_53.jpg,-0.5
203,Team 11 (Wan Chai)_Chen Difei (Peter)_67.jpg,1.1
204,Team 11 (Wan Chai)_Chen Difei (Peter)_75.jpg,-0.7
205,Team 11 (Wan Chai)_Chen Difei (Peter)_82.jpg,1.8
206,Team 11 (Wan Chai)_Chen Difei (Peter)_91.jpg,1.3
207,Team 11 (Wan Chai)_Chen Difei (Peter)_93.jpg,1.2
208,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_103.jpg,1.8
209,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_125.jpg,-1.4
210,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_13.jpg,-0.2
211,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_135.jpg,0.5
212,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_139.jpg,-0.6
213,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_146.jpg,1.2
214,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_148.jpg,0.7
215,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_158.jpg,-0.2
216,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_16.jpg,-1.1
217,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_162.jpg,-0.1
218,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_167.jpg,-0.3
219,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_172.jpg,1.6
220,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_176.jpg,-1.7
221,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_18.jpg,-0.4
222,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_180.jpg,0.5
223,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_184.jpg,-0.6
224,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_190.jpg,-0.6
225,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_192.jpg,1.2
226,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_193.jpg,-0.2
227,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_194.jpg,-0.4
228,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_199.jpg,-1.2
229,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_20.jpg,-0.4
230,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_32.jpg,0.8
231,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_47.jpg,-0.7
232,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_48.jpg,-0.2
233,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_51.jpg,0.2
234,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_6.jpg,1.4
235,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_63.jpg,1.5
236,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_67.jpg,0.4
237,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_93.jpg,1.3
238,Team 11 (Wan Chai)_Cheng Chak Kong (Kelvin)_96.jpg,0.6
239,Team 11 (Wan Chai)_Li Wo Him (Herbert)_1.jpg,-0.7
240,Team 11 (Wan Chai)_Li Wo Him (Herbert)_129.jpg,-0.3
241,Team 11 (Wan Chai)_Li Wo Him (Herbert)_150.jpg,0.0
242,Team 11 (Wan Chai)_Li Wo Him (Herbert)_160.jpg,-1.3
243,Team 11 (Wan Chai)_Li Wo Him (Herbert)_165.jpg,0.9
244,Team 11 (Wan Chai)_Li Wo Him (Herbert)_170.jpg,-0.5
245,Team 11 (Wan Chai)_Li Wo Him (Herbert)_184.jpg,0.1
246,Team 11 (Wan Chai)_Li Wo Him (Herbert)_188.jpg,0.5
247,Team 11 (Wan Chai)_Li Wo Him (Herbert)_189.jpg,1.5
248,Team 11 (Wan Chai)_Li Wo Him (Herbert)_190.jpg,1.3
249,Team 11 (Wan Chai)_Li Wo Him (Herbert)_193.jpg,-0.9
250,Team 11 (Wan Chai)_Li Wo Him (Herbert)_196.jpg,-0.1
251,Team 11 (Wan Chai)_Li Wo Him (Herbert)_199.jpg,0.1
252,Team 11 (Wan Chai)_Li Wo Him (Herbert)_202.jpg,-1.1
253,Team 11 (Wan Chai)_Li Wo Him (Herbert)_226.jpg,1.0
254,Team 11 (Wan Chai)_Li Wo Him (Herbert)_236.jpg,0.9
255,Team 11 (Wan Chai)_Li Wo Him (Herbert)_43.jpg,-0.3
256,Team 11 (Wan Chai)_Li Wo Him (Herbert)_45.jpg,0.7
257,Team 11 (Wan Chai)_Li Wo Him (Herbert)_76.jpg,1.1
258,Team 11 (Wan Chai)_Li Wo Him (Herbert)_8.jpg,-0.8
259,Team 11 (Wan Chai)_Wang Yining (Elaine)_105.jpg,1.6
260,Team 11 (Wan Chai)_Wang Yining (Elaine)_110.jpg,-0.3
261,Team 11 (Wan Chai)_Wang Yining (Elaine)_112.jpg,0.3
262,Team 11 (Wan Chai)_Wang Yining (Elaine)_115.jpg,-0.8
263,Team 11 (Wan Chai)_Wang Yining (Elaine)_117.jpg,0.7
264,Team 11 (Wan Chai)_Wang Yining (Elaine)_121.jpg,-0.1
265,Team 11 (Wan Chai)_Wang Yining (Elaine)_146.jpg,0.1
266,Team 11 (Wan Chai)_Wang Yining (Elaine)_156.jpg,-0.0
267,Team 11 (Wan Chai)_Wang Yining (Elaine)_186.jpg,1.0
268,Team 11 (Wan Chai)_Wang Yining (Elaine)_191.jpg,1.3
269,Team 11 (Wan Chai)_Wang Yining (Elaine)_196.jpg,1.6
270,Team 11 (Wan Chai)_Wang Yining (Elaine)_199.jpg,1.3
271,Team 11 (Wan Chai)_Wang Yining (Elaine)_205.jpg,-0.0
272,Team 11 (Wan Chai)_Wang Yining (Elaine)_211.jpg,0.4
273,Team 11 (Wan Chai)_Wang Yining (Elaine)_214.jpg,0.9
274,Team 11 (Wan Chai)_Wang Yining (Elaine)_22.jpg,-1.8
275,Team 11 (Wan Chai)_Wang Yining (Elaine)_222.jpg,-0.7
276,Team 11 (Wan Chai)_Wang Yining (Elaine)_226.jpg,0.1
277,Team 11 (Wan Chai)_Wang Yining (Elaine)_230.jpg,0.7
278,Team 11 (Wan Chai)_Wang Yining (Elaine)_240.jpg,1.0
279,Team 11 (Wan Chai)_Wang Yining (Elaine)_246.jpg,-1.4
280,Team 11 (Wan Chai)_Wang Yining (Elaine)_53.jpg,0.9
281,Team 11 (Wan Chai)_Wang Yining (Elaine)_63.jpg,-1.2
282,Team 11 (Wan Chai)_Wang Yining (Elaine)_69.jpg,0.8
283,Team 11 (Wan Chai)_Wang Yining (Elaine)_70.jpg,-0.1
284,Team 11 (Wan Chai)_Wang Yining (Elaine)_76.jpg,1.0
285,Team 11 (Wan Chai)_Wang Yining (Elaine)_81.jpg,-0.1
286,Team 11 (Wan Chai)_Wang Yining (Elaine)_86.jpg,0.5
287,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_10.jpg,1.1
288,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_100.jpg,-1.2
289,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_123.jpg,-2.0
290,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_126.jpg,-2.0
291,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_137.jpg,-1.4
292,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_146.jpg,-1.8
293,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_152.jpg,-0.6
294,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_170.jpg,-0.3
295,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_183.jpg,-2.0
296,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_189.jpg,-1.3
297,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_194.jpg,-1.2
298,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_201.jpg,-1.5
299,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_21.jpg,0.1
300,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_217.jpg,-1.4
301,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_224.jpg,1.0
302,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_247.jpg,1.5
303,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_251.jpg,-0.3
304,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_254.jpg,0.8
305,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_27.jpg,-0.9
306,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_37.jpg,-1.7
307,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_40.jpg,-1.1
308,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_62.jpg,-1.3
309,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_78.jpg,-1.6
310,Team 11 (Wan Chai)_Wong Hei Lam (Ryan) _ Chau Chun Hung (Jaco)_83.jpg,-0.0
311,Team 12 (Whampoa)_Chau Kin On (Mark)_104.jpg,-1.9
312,Team 12 (Whampoa)_Chau Kin On (Mark)_123.jpg,1.1
313,Team 12 (Whampoa)_Chau Kin On (Mark)_13.jpg,-2.0
314,Team 12 (Whampoa)_Chau Kin On (Mark)_130.jpg,-0.9
315,Team 12 (Whampoa)_Chau Kin On (Mark)_155.jpg,0.3
316,Team 12 (Whampoa)_Chau Kin On (Mark)_162.jpg,0.3
317,Team 12 (Whampoa)_Chau Kin On (Mark)_165.jpg,-0.3
318,Team 12 (Whampoa)_Chau Kin On (Mark)_184.jpg,-0.4
319,Team 12 (Whampoa)_Chau Kin On (Mark)_185.jpg,-0.8
320,Team 12 (Whampoa)_Chau Kin On (Mark)_226.jpg,-0.9
321,Team 12 (Whampoa)_Chau Kin On (Mark)_230.jpg,-1.7
322,Team 12 (Whampoa)_Chau Kin On (Mark)_232.jpg,-1.2
